Layer_i,Layer_j,AUC,Diff_P_N,AUC_abs
4,13,0.593585,0.014611370384693123,0.09358500000000003
9,13,0.5931545,0.012326279103756,0.09315450000000003
19,22,0.592785,0.010582034409046176,0.092785
9,15,0.592453,0.013424444973468785,0.09245300000000001
7,12,0.5916595,0.013569734513759646,0.0916595
3,15,0.590597,0.01599428021907806,0.09059700000000004
19,21,0.5905815000000001,0.00799904507398605,0.09058150000000009
3,14,0.590014,0.015072144329547899,0.09001400000000004
13,19,0.5900050000000001,0.01316459083557131,0.09000500000000011
1,17,0.5899945,0.017536833465099322,0.08999449999999998
12,18,0.5899519999999999,0.014130132615566254,0.08995199999999992
2,16,0.5892614999999999,0.016184326171874985,0.08926149999999988
19,23,0.588977,0.011887883067131066,0.08897699999999997
20,25,0.588854,0.012284909367561353,0.08885399999999999
12,13,0.5878399999999999,0.004561237096786491,0.08783999999999992
4,12,0.587421,0.013153549373149886,0.08742099999999997
1,16,0.585553,0.015798634052276606,0.08555299999999999
26,27,0.5854119999999999,0.005811603128910062,0.08541199999999993
10,12,0.5850420000000001,0.00939967155456542,0.08504200000000006
2,15,0.584984,0.015009029507636995,0.08498399999999995
5,11,0.584822,0.01117128425836561,0.08482199999999995
21,25,0.5846034999999999,0.009685964524745933,0.08460349999999994
12,17,0.584392,0.011842386364936841,0.08439200000000002
3,13,0.5843630000000001,0.013790736019611338,0.08436300000000008
6,11,0.584088,0.010084338068962112,0.08408800000000005
23,27,0.584077,0.014545447468757633,0.08407699999999996
21,24,0.5840765,0.008378252863883967,0.0840765
12,14,0.5840369999999999,0.0062872813940048206,0.08403699999999992
24,27,0.583685,0.013299519002437588,0.08368500000000001
20,23,0.583521,0.009281711995601655,0.08352099999999996
12,15,0.5833295,0.008048831462860118,0.08332949999999995
15,18,0.5830715,0.006895509421825402,0.08307149999999996
2,14,0.582473,0.014184610366821282,0.08247300000000002
20,22,0.582416,0.006876107990741731,0.08241600000000004
